identifier,name,date
del0003,Treaty with the Delaware,1778
nat0005,"Treaty with the Six Nations,",1784
wya0006,"Treaty with the Wyandot, etc.,",1785
che0008,"Treaty with the Cherokee,",1785
cho0011,"Treaty with the Choctaw,",1786
chi0014,"Treaty with the Chickasaw,",1786
sha0016,"Treaty with the Shawnee,",1786
wya0018,"Treaty with the Wyandot, etc.,",1789
six0023,"Treaty with the Six Nations,",1789
cre0025,"Treaty with the Creeks,",1790
che0029,"Treaty with the Cherokee,",1791
fiv1027,"Agreement with the Five Nations of Indians, Appendix",1792
che0033,"Treaty with the Cherokee,",1794
six0034,"Treaty with the Six Nations,",1794
one0037,"Treaty with the Oneida, etc.,",1794
wya0039,"Treaty with the Wyandot, etc.,",1795
sev0045,"Treaty with the Seven Nations of Canada,",1796
cre0046,"Treaty with the Creeks,",1796
moh0050,"Treaty with the Mohawk,",1797
sen1027,"Agreement with the Seneca, Appendix",1797
che0051,"Treaty with the Cherokee,",1798
chi0055,"Treaty with the Chickasaw,",1801
cho0056,"Treaty with the Choctaw,",1801
cre0058,"Treaty with the Creeks,",1802
sen0060,"Treaty with the Seneca,",1802
sen0062,"Treaty with the Seneca,",1802
cho0063,"Treaty with the Choctaw,",1802
del0064,"Treaty with the Delawares, etc.,",1803
eel0066,"Treaty with the Eel River, etc.,",1803
kas0067,"Treaty with the Kaskaskia,",1803
cho0069,"Treaty with the Choctaw,",1803
del0070,"Treaty with the Delawares,",1804
pia0072,"Treaty with the Piankeshaw,",1804
che0073,"Treaty with the Cherokee,",1804
sau0074,"Treaty with the Sauk and Foxes,",1804
wya0077,"Treaty with the Wyandot, etc.,",1805
chi0079,"Treaty with the Chickasaw,",1805
del0080,"Treaty with the Delawares, etc.,",1805
che0082,"Treaty with the Cherokee,",1805
che0084,"Treaty with the Cherokee,",1805
cre0085,"Treaty with the Creeks,",1805
cho0087,"Treaty with the Choctaw,",1805
pia0089,"Treaty with the Piankashaw,",1805
sio1031,Treaty with the Sioux,1805
che0090,"Treaty with the Cherokee,",1806
ott0092,"Treaty with the Ottawa, etc.,",1807
osa0095,"Treaty with the Osage,",1808
chi0099,"Treaty with the Chippewa, etc.,",1808
del0101,"Treaty with the Delawares, etc.,",1809
mia0103,"Supplementary Treaty with the Miami, etc.,",1809
wea0103,"Treaty with the Wea,",1809
kic0104,"Treaty with the Kickapoo,",1809
wya0105,"Treaty with the Wyandot, etc.,",1814
cre0107,"Treaty with the Creeks,",1814
pot0110,"Treaty with the Potawatomi,",1815
pia0111,"Treaty with the Piankashaw,",1815
tet0112,"Treaty with the Teton,",1815
sio0113,"Treaty with the Sioux of the Lakes,",1815
sio0114,"Treaty with the Sioux of St. Peter's River,",1815
yan0115,"Treaty with the Yankton Sioux,",1815
mak0115,"Treaty with the Makah,",1815
kic0116,"Treaty with the Kickapoo,",1815
wya0117,"Treaty with the Wyandot, etc.,",1815
osa0119,"Treaty with the Osage,",1815
sau0120,"Treaty with the Sauk,",1815
fox0121,"Treaty with the Foxes,",1815
iow0122,"Treaty with the Iowa,",1815
kan0123,"Treaty with the Kansa,",1815
che0124,"Treaty with the Cherokee,",1816
che0125,"Treaty with the Cherokee,",1816
sau0126,"Treaty with the Sauk,",1816
sio0128,"Treaty with the Sioux,",1816
win0130,"Treaty with the Winnebago,",1816
kic0131,"Treaty with the Wea and Kickapoo,",1816
ott0132,"Treaty with the Ottawa, etc.,",1816
che0133,"Treaty with the Cherokee,",1816
chi0135,"Treaty with the Chickasaw,",1816
cho0137,"Treaty with the Choctaw,",1816
men0138,"Treaty with the Menominee,",1817
oto0139,"Treaty with the Oto,",1817
pon0140,"Treaty with the Ponca,",1817
che0140,"Treaty with the Cherokee,",1817
wya0145,"Treaty with the Wyandot, etc.,",1817
cre0155,"Treaty with the Creeks,",1818
gra0156,"Treaty with the Grand Pawnee,",1818
paw0157,"Treaty with the Noisy Pawnee,",1818
paw0158,"Treaty with the Pawnee Republic,",1818
paw0159,"Treaty with the Pawnee Marhar,",1818
qua0160,"Treaty with the Quapaw,",1818
wya0162,"Treaty with the Wyandot, etc.,",1818
wya0164,"Treaty with the Wyandot,",1818
peo0165,"Treaty with the Peoria, etc.,",1818
osa0167,"Treaty with the Osage,",1818
pot0168,"Treaty with the Potawatomi,",1818
wea0169,"Treaty with the Wea,",1818
del0170,"Treaty with the Delawares,",1818
mia0171,"Treaty with the Miami,",1818
chi0174,"Treaty with the Chickasaw,",1818
pia1031,Agreement with the Piankeshaw,1818
che0177,"Treaty with the Cherokee,",1819
kic0182,"Treaty with the Kickapoo,",1819
kic0184,"Treaty with the Kickapoo,",1819
chi0185,"Treaty with the Chippewa,",1819
chi0188,"Treaty with the Ottawa and Chippewa,",1820
kic0189,"Treaty with the Kickapoo,",1820
wea0190,"Treaty with the Wea,",1820
kic0191,"Treaty with the Kickapoo of the Vermilion,",1820
cho0191,"Treaty with the Choctaw,",1820
cre0195,"Treaty with the Creeks,",1821
cre0197,"Treaty with the Creeks,",1821
ott0198,"Treaty with the Ottawa,",1821
osa0201,"Treaty with the Osage,",1822
sau0202,"Treaty with the Sauk and Foxes,",1822
sem0203,"Treaty with the Florida Tribes of Indians,",1823
sen1033,"Agreement with the Seneca,",1823
sau0207,"Treaty with the Sauk and Foxes,",1824
iow0208,"Treaty with the Iowa,",1824
qua0210,"Treaty with the Quapaw,",1824
cho0211,"Treaty with the Choctaw,",1825
cre0214,"Treaty with the Creeks,",1825
osa0217,"Treaty with the Osage,",1825
kan0222,"Treaty with the Kansa,",1825
pon0225,"Treaty with the Ponca,",1825
sio0227,"Treaty with the Teton, etc., Sioux,",1825
ogl0230,"Treaty with the Sioune and Oglala Tribes,",1825
che0232,"Treaty with the Cheyenne Tribe,",1825
hun0235,"Treaty with the Hunkpapa Band of the Sioux Tribe,",1825
ari0237,"Treaty with the Arikara Tribe,",1825
bel0239,"Treaty with the Belantse-Etoa or Minitaree Tribe,",1825
man0242,"Treaty with the Mandan Tribe,",1825
cro0244,"Treaty with the Crow Tribe,",1825
osa0246,"Treaty with the Great and Little Osage,",1825
kan0248,"Treaty with the Kansa,",1825
sio0250,"Treaty with the Sioux, etc.,",1825
oto0256,"Treaty with the Oto and Missouri Tribe,",1825
paw0258,"Treaty with the Pawnee Tribe,",1825
mak0260,"Treaty with the Makah Tribe,",1825
sha0262,"Treaty with the Shawnee,",1825
cre1034,"Agreement with the Creeks,",1825
cre0264,"Treaty with the Creeks,",1826
chi0268,"Treaty with the Chippewa,",1826
pot0273,"Treaty with the Potawatomi,",1826
mia0278,"Treaty with the Miami,",1826
chi0281,"Treaty with the Chippewa, etc.,",1827
pot0283,"Treaty with the Potawatomi,",1827
cre0284,"Treaty with the Creeks,",1827
mia0286,"Treaty with the Miami,",1828
Che0288,"Treaty with the Western Cherokee,",1828
win0292,"Treaty with the Winnebago, etc.,",1828
pot0294,"Treaty with the Potawatomi,",1828
chi0297,"Treaty with the Chippewa, etc.,",1829
win0300,"Treaty with the Winnebago,",1829
del0303,"Treaty with the Delawares,",1829
del0304,"Treaty with the Delawares,",1829
sau0305,"Treaty with the Sauk and Foxes,etc.,",1830
cho0310,"Treaty with the Choctaw,",1830
chi1035,"Treaty with the Chickasaw,",1830
men0319,"Treaty with the Menominee,",1831
men0323,"Treaty with the Menominee,",1831
sen0325,"Treaty with the Seneca,",1831
sen0327,"Treaty with the Seneca, etc.,",1831
sha0331,"Treaty with the Shawnee,",1831
ott0335,"Treaty with the Ottawa,",1831
wya0339,"Treaty with the Wyandot,",1832
cre0341,"Treaty with the Creeks,",1832
sem0344,"Treaty with the Seminole,",1832
win0345,"Treaty with the Winnebago,",1832
sau0349,"Treaty with the Sauk and Foxes,",1832
app0352,"Treaty with the Appalachicola Band,",1832
pot0353,"Treaty with the Potawatomi,",1832
chi0356,"Treaty with the Chickasaw,",1832
chi0362,"Treaty with the Chickasaw,",1832
kic0365,"Treaty with the Kickapoo,",1832
pot0367,"Treaty with the Potawatomi,",1832
sha0370,"Treaty with the Shawnee,etc.,",1832
pot0372,"Treaty with the Potawatomi,",1832
kas0376,"Treaty with the Kaskaskia, etc.,",1832
men0377,"Treaty with the Menominee,",1832
pia0382,"Treaty with the Piankashaw and Wea,",1832
sen0383,"Treaty with the Seneca and Shawnee,",1832
Che0385,"Treaty with the Western Cherokee,",1833
cre0388,"Treaty with the Creeks,",1833
ott0392,"Treaty with the Ottawa,",1833
sem0394,"Treaty with the Seminole,",1833
qua0395,"Treaty with the Quapaw,",1833
app0398,"Treaty with the Appalachicola Band,",1833
oto0400,"Treaty with the Oto and Missouri,",1833
chi0402,"Treaty with the Chippewa, etc.,",1833
paw0416,"Treaty with the Pawnee,",1833
chi0418,"Treaty with the Chickasaw,",1834
mia0425,"Treaty with the Miami,",1834
pot0428,"Treaty with the Potawatomi,",1834
pot0429,"Treaty with the Potawatomi,",1834
pot0430,"Treaty with the Potawatomi,",1834
pot0431,"Treaty with the Potawatomi,",1834
cad0432,"Treaty with the Caddo,",1835
com0435,"Treaty with the Comanche, etc.,",1835
che0439,"Treaty with the Cherokee,",1835
pot0450,"Treaty with the Potawatomi,",1836
ott0450,"Treaty with the Ottawa,etc.,",1836
pot0457,"Treaty with the Potawatomi,",1836
pot0457a,"Treaty with the Potawatomi,",1836
pot0458,"Treaty with the Potawatomi,",1836
pot0459,"Treaty with the Potawatomi,",1836
wya0460,"Treaty with the Wyandot,",1836
chi0461,"Treaty with the Chippewa,",1836
pot0462,"Treaty with the Potawatomi,",1836
men0463,"Treaty with the Menominee,",1836
sio0466,"Treaty with the Sioux,",1836
iow0468,"Treaty with the Iowa, etc.,",1836
pot0470,"Treaty with the Potawatomi,",1836
pot0471,"Treaty with the Potawatomi,",1836
pot0471a,"Treaty with the Potawatomi,",1836
sau0473,"Treaty with the Sauk and Fox Tribe,",1836
sau0474,"Treaty with the Sauk and Foxes,",1836
sau0476,"Treaty with the Sauk and Foxes,",1836
oto0479,"Treaty with the Oto, etc.,",1836
sio0481,"Treaty with the Sioux,",1836
chi0482,"Treaty with the Chippewa,",1837
Chi0486,"Treaty with the Choctaw and Chickasaw,",1837
pot0488,"Treaty with the Potawatomi,",1837
kio0489,"Treaty with the Kiowa, etc.,",1837
chi0491,"Treaty with the Chippewa,",1837
sio0493,"Treaty with the Sioux,",1837
sau0495,"Treaty with the Sauk and Foxes,",1837
yan0496,"Treaty with the Yankton Sioux,",1837
sau0497,"Treaty with the Sauk and Foxes,",1837
win0498,"Treaty with the Winnebago,",1837
iow0500,"Treaty with the Iowa,",1837
chi0501,"Treaty with the Chippewa,",1837
new0502,"Treaty with the NewYork Indians,",1838
